1900-01-01 18:19:19
Student List:
Visual: 		 lambda:0.98 <1, 0, 0, 0>
Non-Visual: 	 lambda:1.04 <0, 0, 1, 1>
Independant: 	 lambda:1.16 <2, 0, 1, 0>
Dependant: 		 lambda:0.97 <1, 1, 1, 1>

--- Sequential Halving ---

INDEX:  0
ARM: [2 3 0 0 1]	Average: 26.000000
ARM: [2 3 0 1 0]	Average: 26.000000
ARM: [2 3 0 1 1]	Average: 27.000000
ARM: [2 3 1 0 0]	Average: 27.000000
ARM: [2 3 1 0 1]	Average: 28.000000
ARM: [2 3 1 1 0]	Average: 29.000000
ARM: [2 3 1 1 1]	Average: 29.000000
ARM: [2 4 0 0 0]	Average: 30.000000
ARM: [2 4 0 0 1]	Average: 30.000000
ARM: [2 4 0 1 0]	Average: 30.000000
ARM: [2 4 0 1 1]	Average: 30.000000
ARM: [2 4 1 0 0]	Average: 31.000000
ARM: [2 4 1 0 1]	Average: 31.000000
ARM: [2 4 1 1 0]	Average: 32.000000
ARM: [2 4 1 1 1]	Average: 33.000000
ARM: [2 5 0 0 0]	Average: 33.000000
ARM: [2 5 0 0 1]	Average: 34.000000
ARM: [2 5 0 1 0]	Average: 34.000000
ARM: [2 5 0 1 1]	Average: 35.000000
ARM: [2 5 1 0 0]	Average: 35.000000
ARM: [2 5 1 0 1]	Average: 35.000000
ARM: [2 5 1 1 0]	Average: 36.000000
ARM: [2 5 1 1 1]	Average: 36.000000

INDEX:  2 -- PULLS PER ARM: 34
ARM: [2 3 1 1 0]	Average: 10.000000
ARM: [2 3 1 1 1]	Average: 10.000000
ARM: [2 4 0 0 0]	Average: 11.000000
ARM: [2 4 0 0 1]	Average: 11.000000
ARM: [2 4 0 1 0]	Average: 12.000000
ARM: [2 4 0 1 1]	Average: 12.000000
ARM: [2 4 1 0 0]	Average: 13.000000
ARM: [2 4 1 0 1]	Average: 13.000000
ARM: [2 4 1 1 0]	Average: 14.000000
ARM: [2 4 1 1 1]	Average: 14.000000
ARM: [2 5 0 0 0]	Average: 15.000000
ARM: [2 5 0 0 1]	Average: 15.000000
ARM: [2 5 0 1 0]	Average: 16.000000
ARM: [2 5 0 1 1]	Average: 16.000000
ARM: [2 5 1 0 0]	Average: 16.000000
ARM: [2 5 1 0 1]	Average: 17.000000
ARM: [2 5 1 1 0]	Average: 18.000000
ARM: [2 5 1 1 1]	Average: 18.000000

INDEX:  3 -- PULLS PER ARM: 69
ARM: [2 4 1 1 1]	Average: 4.000000
ARM: [2 5 0 0 0]	Average: 5.000000
ARM: [2 5 0 0 1]	Average: 5.000000
ARM: [2 5 0 1 0]	Average: 6.000000
ARM: [2 5 0 1 1]	Average: 6.000000
ARM: [2 5 1 0 0]	Average: 7.000000
ARM: [2 5 1 0 1]	Average: 7.000000
ARM: [2 5 1 1 0]	Average: 8.000000
ARM: [2 5 1 1 1]	Average: 8.000000

INDEX:  4 -- PULLS PER ARM: 138
ARM: [2 5 0 1 1]	Average: 2.000000
ARM: [2 5 1 0 0]	Average: 2.000000
ARM: [2 5 1 0 1]	Average: 3.000000
ARM: [2 5 1 1 0]	Average: 3.000000
ARM: [2 5 1 1 1]	Average: 4.000000

INDEX:  5 -- PULLS PER ARM: 250
ARM: [2 5 1 0 1]	Average: 1.000000
ARM: [2 5 1 1 0]	Average: 1.000000
ARM: [2 5 1 1 1]	Average: 2.000000

INDEX:  6 -- PULLS PER ARM: 416
ARM: [2 5 1 1 0]	Average: 0.000000
ARM: [2 5 1 1 1]	Average: 1.000000

INDEX:  7 -- PULLS PER ARM: 625
ARM: [2 5 1 1 1]	Average: 1.000000

BEST ARM: [2 5 1 1 1]
--- END OF EXPERIMENT ---

1900-01-01 18:29:32
Student List:
Visual: 		 lambda:0.98 <2, 0, 0, 0>
Non-Visual: 	 lambda:0.96 <0, 1, 1, 1>
Independant: 	 lambda:0.96 <2, 0, 0, 0>
Dependant: 		 lambda:0.95 <1, 1, 1, 1>

--- Epsilon Greedy ---
ARM: 0.702098849018	AVERAGE: 0.702099
ARM: 0.692630317555	AVERAGE: 0.692630
ARM: 0.692307692308	AVERAGE: 0.692308
ARM: 0.684210526316	AVERAGE: 0.684211
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.666666666667	AVERAGE: 0.666667
ARM: 0.656626506024	AVERAGE: 0.656627
ARM: 0.65625	AVERAGE: 0.656250
ARM: 0.655172413793	AVERAGE: 0.655172
ARM: 0.652173913043	AVERAGE: 0.652174
ARM: 0.647058823529	AVERAGE: 0.647059
ARM: 0.642857142857	AVERAGE: 0.642857
ARM: 0.642857142857	AVERAGE: 0.642857
ARM: 0.636363636364	AVERAGE: 0.636364
ARM: 0.625	AVERAGE: 0.625000
ARM: 0.625	AVERAGE: 0.625000
ARM: 0.625	AVERAGE: 0.625000
ARM: 0.625	AVERAGE: 0.625000
ARM: 0.625	AVERAGE: 0.625000
ARM: 0.615384615385	AVERAGE: 0.615385
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.6	AVERAGE: 0.600000
ARM: 0.583333333333	AVERAGE: 0.583333
ARM: 0.571428571429	AVERAGE: 0.571429
ARM: 0.5625	AVERAGE: 0.562500
