2014-11-28 18:30:25
Student List:
Visual: 		 lambda:0.91 <0, 0, 0, 0, 0>	probability: 0.200000
Non-Visual: 	 lambda:1.28 <0, 3, 0, 1, 1>	probability: 0.400000
Independant: 	 lambda:1.08 <2, 2, 0, 1, 0>	probability: 0.200000
Dependant: 		 lambda:0.89 <1, 2, 1, 1, 1>	probability: 0.200000
Running sequential-halving algorithm bounded by 100000 pulls...

--- Sequential Halving ---
ARM: <1, 1, 0, 1, 0>	CONFIGMU: 0.537758	DELTA: 0.175943
ARM: <1, 1, 0, 1, 0>	CONFIGMU: 0.537758	DELTA: 0.175943
ARM: <1, 1, 0, 1, 1>	CONFIGMU: 0.629274	DELTA: 0.084427
ARM: <1, 1, 0, 1, 1>	CONFIGMU: 0.629274	DELTA: 0.084427
ARM: <1, 1, 0, 1, 1>	CONFIGMU: 0.629274	DELTA: 0.084427
ARM: <1, 1, 1, 0, 0>	CONFIGMU: 0.404182	DELTA: 0.309520
ARM: <1, 1, 1, 0, 0>	CONFIGMU: 0.404182	DELTA: 0.309520
ARM: <1, 1, 1, 0, 0>	CONFIGMU: 0.404182	DELTA: 0.309520
ARM: <1, 1, 1, 0, 1>	CONFIGMU: 0.417031	DELTA: 0.296670
ARM: <1, 1, 1, 0, 1>	CONFIGMU: 0.417031	DELTA: 0.296670
ARM: <1, 1, 1, 0, 1>	CONFIGMU: 0.417031	DELTA: 0.296670
ARM: <1, 1, 1, 1, 0>	CONFIGMU: 0.520131	DELTA: 0.193570
ARM: <1, 1, 1, 1, 0>	CONFIGMU: 0.520131	DELTA: 0.193570
ARM: <1, 1, 1, 1, 0>	CONFIGMU: 0.520131	DELTA: 0.193570
ARM: <1, 1, 1, 1, 1>	CONFIGMU: 0.611561	DELTA: 0.102140
ARM: <1, 1, 1, 1, 1>	CONFIGMU: 0.611561	DELTA: 0.102140
ARM: <1, 1, 1, 1, 1>	CONFIGMU: 0.611561	DELTA: 0.102140
ARM: <1, 2, 0, 0, 0>	CONFIGMU: 0.429154	DELTA: 0.284547
ARM: <1, 2, 0, 0, 0>	CONFIGMU: 0.429154	DELTA: 0.284547
ARM: <1, 2, 0, 0, 0>	CONFIGMU: 0.429154	DELTA: 0.284547
ARM: <1, 2, 0, 0, 1>	CONFIGMU: 0.451156	DELTA: 0.262545
ARM: <1, 2, 0, 0, 1>	CONFIGMU: 0.451156	DELTA: 0.262545
ARM: <1, 2, 0, 0, 1>	CONFIGMU: 0.451156	DELTA: 0.262545
ARM: <1, 2, 0, 1, 0>	CONFIGMU: 0.569835	DELTA: 0.143866
ARM: <1, 2, 0, 1, 0>	CONFIGMU: 0.569835	DELTA: 0.143866
ARM: <1, 2, 0, 1, 0>	CONFIGMU: 0.569835	DELTA: 0.143866
ARM: <1, 2, 0, 1, 1>	CONFIGMU: 0.677232	DELTA: 0.036469
ARM: <1, 2, 0, 1, 1>	CONFIGMU: 0.677232	DELTA: 0.036469
ARM: <1, 2, 0, 1, 1>	CONFIGMU: 0.677232	DELTA: 0.036469
ARM: <1, 2, 1, 0, 0>	CONFIGMU: 0.414739	DELTA: 0.298963
ARM: <1, 2, 1, 0, 0>	CONFIGMU: 0.414739	DELTA: 0.298963
ARM: <1, 2, 1, 0, 0>	CONFIGMU: 0.414739	DELTA: 0.298963
ARM: <1, 2, 1, 0, 1>	CONFIGMU: 0.438709	DELTA: 0.274992
ARM: <1, 2, 1, 0, 1>	CONFIGMU: 0.438709	DELTA: 0.274992
ARM: <1, 2, 1, 0, 1>	CONFIGMU: 0.438709	DELTA: 0.274992
ARM: <1, 2, 1, 1, 0>	CONFIGMU: 0.551135	DELTA: 0.162566
ARM: <1, 2, 1, 1, 0>	CONFIGMU: 0.551135	DELTA: 0.162566
ARM: <1, 2, 1, 1, 0>	CONFIGMU: 0.551135	DELTA: 0.162566
ARM: <1, 2, 1, 1, 1>	CONFIGMU: 0.657967	DELTA: 0.055734
ARM: <1, 2, 1, 1, 1>	CONFIGMU: 0.657967	DELTA: 0.055734
ARM: <1, 2, 1, 1, 1>	CONFIGMU: 0.657967	DELTA: 0.055734
ARM: <1, 3, 0, 0, 0>	CONFIGMU: 0.413556	DELTA: 0.300145
ARM: <1, 3, 0, 0, 0>	CONFIGMU: 0.413556	DELTA: 0.300145
ARM: <1, 3, 0, 0, 0>	CONFIGMU: 0.413556	DELTA: 0.300145
ARM: <1, 3, 0, 0, 1>	CONFIGMU: 0.448701	DELTA: 0.265000
ARM: <1, 3, 0, 0, 1>	CONFIGMU: 0.448701	DELTA: 0.265000
ARM: <1, 3, 0, 0, 1>	CONFIGMU: 0.448701	DELTA: 0.265000
ARM: <1, 3, 0, 1, 0>	CONFIGMU: 0.557535	DELTA: 0.156166
ARM: <1, 3, 0, 1, 0>	CONFIGMU: 0.557535	DELTA: 0.156166
ARM: <1, 3, 0, 1, 0>	CONFIGMU: 0.557535	DELTA: 0.156166
ARM: <1, 3, 0, 1, 1>	CONFIGMU: 0.685123	DELTA: 0.028579
ARM: <1, 3, 0, 1, 1>	CONFIGMU: 0.685123	DELTA: 0.028579
ARM: <1, 3, 0, 1, 1>	CONFIGMU: 0.685123	DELTA: 0.028579
ARM: <1, 3, 1, 0, 0>	CONFIGMU: 0.399251	DELTA: 0.314451
ARM: <1, 3, 1, 0, 0>	CONFIGMU: 0.399251	DELTA: 0.314451
ARM: <1, 3, 1, 0, 0>	CONFIGMU: 0.399251	DELTA: 0.314451
ARM: <1, 3, 1, 0, 1>	CONFIGMU: 0.435327	DELTA: 0.278374
ARM: <1, 3, 1, 0, 1>	CONFIGMU: 0.435327	DELTA: 0.278374
ARM: <1, 3, 1, 0, 1>	CONFIGMU: 0.435327	DELTA: 0.278374
ARM: <1, 3, 1, 1, 0>	CONFIGMU: 0.538428	DELTA: 0.175273
ARM: <1, 3, 1, 1, 0>	CONFIGMU: 0.538428	DELTA: 0.175273
ARM: <1, 3, 1, 1, 0>	CONFIGMU: 0.538428	DELTA: 0.175273
ARM: <1, 3, 1, 1, 1>	CONFIGMU: 0.663789	DELTA: 0.049912
ARM: <1, 3, 1, 1, 1>	CONFIGMU: 0.663789	DELTA: 0.049912
ARM: <1, 3, 1, 1, 1>	CONFIGMU: 0.663789	DELTA: 0.049912
ARM: <1, 4, 0, 0, 0>	CONFIGMU: 0.380764	DELTA: 0.332937
ARM: <1, 4, 0, 0, 0>	CONFIGMU: 0.380764	DELTA: 0.332937
ARM: <1, 4, 0, 0, 0>	CONFIGMU: 0.380764	DELTA: 0.332937
ARM: <1, 4, 0, 0, 1>	CONFIGMU: 0.411623	DELTA: 0.302078
ARM: <1, 4, 0, 0, 1>	CONFIGMU: 0.411623	DELTA: 0.302078
ARM: <1, 4, 0, 0, 1>	CONFIGMU: 0.411623	DELTA: 0.302078
ARM: <1, 4, 0, 1, 0>	CONFIGMU: 0.511429	DELTA: 0.202272
ARM: <1, 4, 0, 1, 0>	CONFIGMU: 0.511429	DELTA: 0.202272
ARM: <1, 4, 0, 1, 0>	CONFIGMU: 0.511429	DELTA: 0.202272
ARM: <1, 4, 0, 1, 1>	CONFIGMU: 0.626517	DELTA: 0.087185
ARM: <1, 4, 0, 1, 1>	CONFIGMU: 0.626517	DELTA: 0.087185
ARM: <1, 4, 0, 1, 1>	CONFIGMU: 0.626517	DELTA: 0.087185
ARM: <1, 4, 1, 0, 0>	CONFIGMU: 0.367694	DELTA: 0.346007
ARM: <1, 4, 1, 0, 0>	CONFIGMU: 0.367694	DELTA: 0.346007
ARM: <1, 4, 1, 0, 0>	CONFIGMU: 0.367694	DELTA: 0.346007
ARM: <1, 4, 1, 0, 1>	CONFIGMU: 0.399542	DELTA: 0.314159
ARM: <1, 4, 1, 0, 1>	CONFIGMU: 0.399542	DELTA: 0.314159
ARM: <1, 4, 1, 0, 1>	CONFIGMU: 0.399542	DELTA: 0.314159
ARM: <1, 4, 1, 1, 0>	CONFIGMU: 0.494090	DELTA: 0.219611
ARM: <1, 4, 1, 1, 0>	CONFIGMU: 0.494090	DELTA: 0.219611
ARM: <1, 4, 1, 1, 0>	CONFIGMU: 0.494090	DELTA: 0.219611
ARM: <1, 4, 1, 1, 1>	CONFIGMU: 0.607343	DELTA: 0.106358
ARM: <1, 4, 1, 1, 1>	CONFIGMU: 0.607343	DELTA: 0.106358
