--2014-11-28 22:04:26
--Student List:
ARM: <2, 1, 1, 1, 0>	CONFIGMU 0.160494345709	DELTA: 0.100913
ARM: <2, 1, 1, 1, 1>	CONFIGMU 0.217011953106	DELTA: 0.044395
ARM: <2, 2, 0, 0, 0>	CONFIGMU 0.137959800028	DELTA: 0.123447
ARM: <2, 2, 0, 0, 1>	CONFIGMU 0.124784469452	DELTA: 0.136623
ARM: <2, 2, 0, 1, 0>	CONFIGMU 0.152461661286	DELTA: 0.108946
ARM: <2, 2, 0, 1, 1>	CONFIGMU 0.190231911128	DELTA: 0.071175
ARM: <2, 2, 1, 0, 0>	CONFIGMU 0.134343222637	DELTA: 0.127064
ARM: <2, 2, 1, 0, 1>	CONFIGMU 0.126236972441	DELTA: 0.135170
ARM: <2, 2, 1, 1, 0>	CONFIGMU 0.153200773262	DELTA: 0.108206
ARM: <2, 2, 1, 1, 1>	CONFIGMU 0.198803399998	DELTA: 0.062604
ARM: <2, 3, 0, 0, 0>	CONFIGMU 0.13100987371	DELTA: 0.130397
ARM: <2, 3, 0, 0, 1>	CONFIGMU 0.118138042184	DELTA: 0.143269
ARM: <2, 3, 0, 1, 0>	CONFIGMU 0.146996125674	DELTA: 0.114411
ARM: <2, 3, 0, 1, 1>	CONFIGMU 0.176674575983	DELTA: 0.084733
ARM: <2, 3, 1, 0, 0>	CONFIGMU 0.127724706583	DELTA: 0.133683
ARM: <2, 3, 1, 0, 1>	CONFIGMU 0.119246348869	DELTA: 0.142161
ARM: <2, 3, 1, 1, 0>	CONFIGMU 0.147360603377	DELTA: 0.114047
ARM: <2, 3, 1, 1, 1>	CONFIGMU 0.18371629731	DELTA: 0.077691
ARM: <2, 4, 0, 0, 0>	CONFIGMU 0.125333581002	DELTA: 0.136074
ARM: <2, 4, 0, 0, 1>	CONFIGMU 0.112650658803	DELTA: 0.148757
ARM: <2, 4, 0, 1, 0>	CONFIGMU 0.141971487904	DELTA: 0.119436
ARM: <2, 4, 0, 1, 1>	CONFIGMU 0.165510608261	DELTA: 0.095897
ARM: <2, 4, 1, 0, 0>	CONFIGMU 0.122322311231	DELTA: 0.139085
ARM: <2, 4, 1, 0, 1>	CONFIGMU 0.113462256708	DELTA: 0.147945
ARM: <2, 4, 1, 1, 0>	CONFIGMU 0.14277605085	DELTA: 0.118631
ARM: <2, 4, 1, 1, 1>	CONFIGMU 0.171261784642	DELTA: 0.090145
ITERATION:    200	BEST_ARM: <0, 3, 1, 1, 1>	CONFIG_MU: 0.217084	DELTA: 0.044323
ITERATION:    300	BEST_ARM: <1, 3, 0, 0, 0>	CONFIG_MU: 0.139918	DELTA: 0.121490
ITERATION:    400	BEST_ARM: <1, 0, 1, 1, 1>	CONFIG_MU: 0.226983	DELTA: 0.034425
ITERATION:    500	BEST_ARM: <1, 0, 1, 1, 1>	CONFIG_MU: 0.226983	DELTA: 0.034425
ITERATION:    600	BEST_ARM: <1, 0, 1, 1, 1>	CONFIG_MU: 0.226983	DELTA: 0.034425
